File	Generated Chimeras	Detected Chimeras	Proportion Detected	True Positives	False Positives	True Negatives	False Negatives	Sensitivity	Specificity
chimeric_--minh_0.01.fasta	771	670	0.8690012970168612	670	0	44470	101	0.8690012970168612	1.0
chimeric_--minh_0.02.fasta	771	667	0.8651102464332037	667	0	44470	104	0.8651102464332037	1.0
chimeric_--minh_0.05.fasta	771	664	0.8612191958495461	664	0	44470	107	0.8612191958495461	1.0
chimeric_--minh_0.06.fasta	771	664	0.8612191958495461	664	0	44470	107	0.8612191958495461	1.0
chimeric_--minh_0.03.fasta	771	664	0.8612191958495461	664	0	44470	107	0.8612191958495461	1.0
chimeric_--minh_0.07.fasta	771	664	0.8612191958495461	664	0	44470	107	0.8612191958495461	1.0
chimeric_--minh_0.08.fasta	771	664	0.8612191958495461	664	0	44470	107	0.8612191958495461	1.0
chimeric_--minh_0.04.fasta	771	664	0.8612191958495461	664	0	44470	107	0.8612191958495461	1.0
